"","stratum","n","PRS","log_IRR","log_IRR_SE","log_IRR_p"
"1","All",3423,"PRSsum_std",0.255267275991463,0.0543923020897905,3.39967335112464e-06
"2","All",3423,"PRSstd_sum_std",0.296936591067329,0.0528418947256814,3.04662247577997e-08
"3","All",2701,"PRS_gap_std",0.166129962560011,0.038417952803538,1.82936282843433e-05
"4","All",2701,"PRSstd_gap_std",0.286241571700758,0.0517389193583822,4.97375699535273e-08
"5","All",3423,"PRSstd_mgb_std",0.268762221226725,0.0432885076153975,1.05262849756581e-09
"6","Healthy_sleep",1142,"PRSsum_std",0.407558606654806,0.0950507976881099,2.25350044352569e-05
"7","Healthy_sleep",1142,"PRSstd_sum_std",0.47050823363296,0.0879784928900026,1.48278316413238e-07
"8","Healthy_sleep",907,"PRS_gap_std",0.285711555384784,0.0650031728517688,1.44286935015529e-05
"9","Healthy_sleep",907,"PRSstd_gap_std",0.491164444457386,0.0851656673100689,1.69036423079263e-08
"10","Healthy_sleep",1142,"PRSstd_mgb_std",0.425065148363708,0.0720554118949022,7.66682259672405e-09
"11","Insomnia",965,"PRSsum_std",0.121983612121745,0.0935630576202469,0.19309908798531
"12","Insomnia",965,"PRSstd_sum_std",0.136385149399265,0.0936537090816511,0.146137066771798
"13","Insomnia",781,"PRS_gap_std",0.0950257784465388,0.0655653059271974,0.148148514175983
"14","Insomnia",781,"PRSstd_gap_std",0.163282255048117,0.0945388645371769,0.0850316328278802
"15","Insomnia",965,"PRSstd_mgb_std",0.109076346400415,0.0807906359791885,0.177777609892773
"16","Short_sleep",287,"PRSsum_std",0.103274326787906,0.164760402196188,0.531616316402761
"17","Short_sleep",287,"PRSstd_sum_std",0.0863516200824868,0.161579859330361,0.593744649485607
"18","Short_sleep",230,"PRS_gap_std",-0.0306080675558361,0.111702598712711,0.784474935239938
"19","Short_sleep",230,"PRSstd_gap_std",-0.0295767847157801,0.141543305681395,0.834781619535951
"20","Short_sleep",287,"PRSstd_mgb_std",0.0334241029739831,0.139445731972406,0.810855683006249
"21","Long_sleep",572,"PRSsum_std",0.226675726591805,0.110903222752659,0.0419367358338438
"22","Long_sleep",572,"PRSstd_sum_std",0.280634387753985,0.112314795834943,0.0130640054198807
"23","Long_sleep",422,"PRS_gap_std",0.196922076788619,0.0982311148058963,0.0462062997194441
"24","Long_sleep",422,"PRSstd_gap_std",0.279522178076351,0.136012635916651,0.0410327675084161
"25","Long_sleep",572,"PRSstd_mgb_std",0.276057149424776,0.106984880485977,0.0104010120214922
"26","EDS",515,"PRSsum_std",0.310020297680714,0.141163692725379,0.0289908426880287
"27","EDS",515,"PRSstd_sum_std",0.316568441470751,0.136611241752017,0.0212896315348461
"28","EDS",386,"PRS_gap_std",0.223201475229977,0.0912770189878615,0.0152920681018255
"29","EDS",386,"PRSstd_gap_std",0.318125115113694,0.118840139547699,0.0080144013868107
"30","EDS",515,"PRSstd_mgb_std",0.234964369718243,0.109415908661778,0.0327122080642571
"31","Mild_OSA",415,"PRSsum_std",0.0441302070790286,0.121389556324908,0.716545967912714
"32","Mild_OSA",415,"PRSstd_sum_std",0.0440588612388548,0.116140839463027,0.70478525606772
"33","Mild_OSA",362,"PRS_gap_std",0.0420207363190534,0.0695283839346734,0.546280524650353
"34","Mild_OSA",362,"PRSstd_gap_std",0.0556349876754799,0.106211456857411,0.600985389936746
"35","Mild_OSA",415,"PRSstd_mgb_std",0.0269813721853477,0.095358824252865,0.777482090846016
"36","Mod_severe_OSA",152,"PRSsum_std",0.368407239286804,0.185206319331988,0.0494698261892548
"37","Mod_severe_OSA",152,"PRSstd_sum_std",0.365959239791962,0.179888500344891,0.044616234105556
"38","Mod_severe_OSA",129,"PRS_gap_std",0.245014929504157,0.127964860101818,0.0589753047729312
"39","Mod_severe_OSA",129,"PRSstd_gap_std",0.321013706534627,0.181288909370178,0.0802770490664527
"40","Mod_severe_OSA",152,"PRSstd_mgb_std",0.254280025518992,0.154951199235075,0.10399628123105
"41","Mild_severe_OSA",567,"PRSsum_std",0.130506829350956,0.105567956808302,0.217418366109721
"42","Mild_severe_OSA",567,"PRSstd_sum_std",0.126287329427876,0.101197661016477,0.213111530981383
"43","Mild_severe_OSA",491,"PRS_gap_std",0.0888856685213152,0.0643701726676306,0.16854791949425
"44","Mild_severe_OSA",491,"PRSstd_gap_std",0.123954889730083,0.0965657895903949,0.200449986556737
"45","Mild_severe_OSA",567,"PRSstd_mgb_std",0.0854245010975359,0.0843929210586399,0.312314531665251
