"","Outcome","Method","Category","Type","est","lower_CI","upper_CI"
"1","Pheno_c","Method_2","Category_B","Type_I",2.87577520124614,1.88309767568717,3.86845272680512
"2","Pheno_c","Method_2","Category_B","Type_II",7.88305135443807,7.27160168281989,8.49450102605624
"3","Pheno_c","Method_2","Category_A","Type_I",4.089769218117,3.65587715897709,4.52366127725691
"4","Pheno_c","Method_2","Category_A","Type_II",8.83017404004931,7.37639374937862,10.28395433072
"5","Pheno_c","Method_3","Category_B","Type_I",9.40467284293845,8.02679903653916,10.7825466493377
"6","Pheno_c","Method_3","Category_B","Type_II",0.455564993899316,-0.657816604129039,1.56894659192767
"7","Pheno_c","Method_3","Category_A","Type_I",5.28105488047004,4.03672060836107,6.52538915257901
"8","Pheno_c","Method_3","Category_A","Type_II",8.92419044394046,8.64342333830427,9.20495754957665
"9","Pheno_c","Method_1","Category_B","Type_I",5.51435014465824,4.66710518079344,6.36159510852303
"19","Pheno_b","Method_2","Category_B","Type_I",4.56614735303447,3.36807293113088,5.76422177493805
"20","Pheno_b","Method_2","Category_B","Type_II",9.56833345349878,9.04782353370683,10.0888433732907
"21","Pheno_b","Method_2","Category_A","Type_I",4.53334156190977,3.8856153023662,5.18106782145333
"22","Pheno_b","Method_2","Category_A","Type_II",6.77570635452867,6.23617412283784,7.31523858621949
"23","Pheno_b","Method_3","Category_B","Type_I",5.72633401956409,5.29783399158623,6.15483404754195
"24","Pheno_b","Method_3","Category_B","Type_II",1.02924682665616,0.261063906888012,1.79742974642431
"25","Pheno_b","Method_3","Category_A","Type_I",8.99824970401824,8.23109429614851,9.76540511188796
"26","Pheno_b","Method_3","Category_A","Type_II",2.4608773435466,1.74982052989071,3.17193415720249
"27","Pheno_b","Method_1","Category_B","Type_I",0.420595335308462,-0.0199605993693694,0.861151269986294
"46","Pheno_a","Method_2","Category_B","Type_I",3.27920719282702,2.85569961351575,3.70271477213828
"47","Pheno_a","Method_2","Category_B","Type_II",9.54503649147227,9.00374386715703,10.0863291157875
"48","Pheno_a","Method_2","Category_A","Type_I",8.89539316063747,8.06294009782141,9.72784622345353
"49","Pheno_a","Method_2","Category_A","Type_II",6.928034061566,6.34556826110929,7.5104998620227
"50","Pheno_a","Method_3","Category_B","Type_I",6.40506813768297,5.08278349350439,7.72735278186155
"51","Pheno_a","Method_3","Category_B","Type_II",9.94269776623696,9.63540880789515,10.2499867245788
"52","Pheno_a","Method_3","Category_A","Type_I",6.55705799115822,5.75430789840175,7.35980808391469
"53","Pheno_a","Method_3","Category_A","Type_II",7.08530468167737,5.83664862462319,8.33396073873155
"54","Pheno_a","Method_1","Category_B","Type_I",5.44066024711356,5.03828617214458,5.84303432208253
